model,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
riemann_post,11,0,0,827,120,0.5346652522395097,0.5028347477604903,1.0048993991355835,-0.00489939913558346
riemann_post,11,0,1,321,39,0.5217312238588835,0.49045280960174575,1.0002044543857975,-0.00020445438579752562
riemann_post,11,0,14,748,112,0.4604812443845463,0.47461814914645106,1.02406962463696,-0.024069624636960052
riemann_post,11,0,15,940,141,0.48896226666311615,0.4958281184814351,1.0145280545880626,-0.014528054588062611
riemann_post,11,0,23,958,145,0.4920388514229971,0.49921957840268055,1.0103116420260831,-0.010311642026083145
riemann_post,11,0,29,860,130,0.5018651211801897,0.48893572181243417,1.0068598562669848,-0.006859856266984821
riemann_post,11,0,32,781,120,0.5472642460917801,0.5191754916792738,0.9989213360186047,0.0010786639813953336
riemann_post,11,0,34,416,60,0.5760767790262172,0.5909176029962546,0.9908062647063216,0.009193735293678396
riemann_post,11,1,2,965,145,0.5595878889823382,0.5242010092514718,0.9957383579059014,0.004261642094098628
riemann_post,11,1,6,1717,259,0.48964043408487845,0.4881256918293955,1.0146024041570387,-0.014602404157038729
riemann_post,11,1,7,901,132,0.5631871379595698,0.5516018441896205,0.9909782835587028,0.009021716441297234
riemann_post,11,1,17,828,119,0.4917922034822392,0.5093574806509346,1.0151596684536481,-0.015159668453648134
riemann_post,11,1,19,855,131,0.5546898064189616,0.5326219897937666,0.9952790416560295,0.0047209583439704605
riemann_post,11,1,21,936,141,0.46880770774789243,0.48672554529640033,1.0165892662746228,-0.01658926627462276
riemann_post,11,1,33,97,23,0.4829612220916569,0.5055816686251469,1.0104595656294493,-0.010459565629449274
riemann_post,11,2,5,963,147,0.4788248632786448,0.4825055022008803,1.0165229860946963,-0.016522986094696268
riemann_post,11,2,12,740,110,0.43251082251082246,0.46565656565656566,1.0286372085330229,-0.028637208533022873
riemann_post,11,2,26,669,104,0.49785568413886994,0.5046289993192647,1.0105539665769292,-0.010553966576929197
riemann_post,11,2,27,776,124,0.4964130219671482,0.49168810607559865,1.0017302644173365,-0.00173026441733648
riemann_post,11,2,30,508,74,0.5126105368040852,0.5136069248972475,1.00137669444313,-0.0013766944431299333
riemann_post,11,2,31,811,120,0.5420164013506994,0.5088458755426917,0.9945102975473823,0.005489702452617706
riemann_post,11,2,35,797,120,0.4995814869522403,0.47823732151649434,1.0045741700357709,-0.004574170035770875
riemann_post,11,3,8,967,141,0.5003091030858791,0.5129308124259441,1.0096420277210059,-0.009642027721005864
riemann_post,11,3,9,580,91,0.4919885840131239,0.5059551900042698,1.0054637355759037,-0.005463735575903739
riemann_post,11,3,10,785,116,0.4969202618421731,0.5037304778104221,1.0163404628014066,-0.016340462801406552
riemann_post,11,3,11,467,69,0.5759230937295172,0.5387990678027821,0.9854089695283733,0.014591030471626687
riemann_post,11,3,20,1170,179,0.45186567374527165,0.47068871237788135,1.0236669710892143,-0.02366697108921434
riemann_post,11,3,24,491,67,0.485321036327795,0.47500704027034635,1.0091362019706809,-0.00913620197068088
riemann_post,11,3,28,88,10,0.6230769230769231,0.5192307692307692,0.9614902352949923,0.038509764705007665
riemann_post,11,4,3,866,131,0.5155112426650049,0.5152464039050735,1.0049609560897539,-0.004960956089753887
riemann_post,11,4,4,786,128,0.525123480243161,0.4995844414893617,1.0054214080491897,-0.005421408049189669
riemann_post,11,4,13,960,142,0.5355039774096904,0.5316987499569544,1.000653766689936,-0.0006537666899359973
riemann_post,11,4,16,888,137,0.4964961559769456,0.5045972766238689,1.0107221631726664,-0.010722163172666388
riemann_post,11,4,18,1416,199,0.4937423353414566,0.5147822101468724,1.024969569915166,-0.024969569915165968
riemann_post,11,4,22,879,138,0.4838545639460971,0.4954673472980109,1.012297834282115,-0.01229783428211495
riemann_post,11,4,25,659,99,0.48441558441558447,0.45732323232323235,1.0171923665946012,-0.017192366594601216
riemann_post,22,0,7,901,132,0.5267368089214644,0.5187817708949048,1.0000080142685628,-8.014268562783755e-06
riemann_post,22,0,17,828,119,0.47490251389695515,0.4768640883715969,1.0198275875446856,-0.01982758754468561
riemann_post,22,0,20,1170,179,0.45953244000473537,0.4636984254942528,1.0224187955409658,-0.02241879554096582
riemann_post,22,0,21,936,141,0.4712877470003123,0.45692492974708954,1.0151713049473243,-0.015171304947324327
riemann_post,22,0,29,860,130,0.5015911485774499,0.5121707060063224,1.0064871792756205,-0.0064871792756204805
riemann_post,22,0,30,508,74,0.564609540415992,0.5408519118196538,0.992365498806481,0.00763450119351905
riemann_post,22,0,31,811,120,0.5210805595754945,0.5117884708152436,1.001925002709743,-0.001925002709743051
riemann_post,22,0,34,416,60,0.5404494382022472,0.5175093632958802,1.003183029802533,-0.003183029802533044
riemann_post,22,1,10,785,116,0.5186072882841091,0.5223957527962476,1.01017286598959,-0.010172865989590107
riemann_post,22,1,12,740,110,0.45360750360750357,0.46002886002886,1.0204165286728926,-0.020416528672892564
riemann_post,22,1,14,748,112,0.4571260107816712,0.45648023360287515,1.0240626825429355,-0.024062682542935532
riemann_post,22,1,15,940,141,0.4758962888007171,0.46912807676261997,1.0157138078395058,-0.015713807839505822
riemann_post,22,1,24,491,67,0.47884398760912417,0.4883835539284709,1.0098396511472076,-0.00983965114720764
riemann_post,22,1,27,776,124,0.4816569364733821,0.4703641401147833,1.002517364440294,-0.0025173644402940454
riemann_post,22,1,28,88,10,0.676923076923077,0.6448717948717948,0.9629224328529594,0.03707756714704058
riemann_post,22,2,1,321,39,0.4979087106746682,0.5140480087288598,1.0117533658295106,-0.011753365829510587
riemann_post,22,2,5,963,147,0.49799086301187145,0.5061024409763906,1.0151073890637017,-0.015107389063701682
riemann_post,22,2,8,967,141,0.5048597874057664,0.48239829649854893,1.0076233518198452,-0.007623351819845192
riemann_post,22,2,9,580,91,0.47877480392817817,0.4771904986628913,1.0074521734035398,-0.0074521734035397635
riemann_post,22,2,13,960,142,0.519585729536141,0.5056820138434519,1.0061990256369258,-0.006199025636925759
