model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial,11,odd_even_blocks,0,0,1,303,62,0.5274394324722259,0.5075291125685986,1.0005693435668945,-0.0005693435668945312
child_spatial,11,odd_even_blocks,0,1,2,590,111,0.5736425360642479,0.5603453139987586,0.9900250434875488,0.009974956512451172
child_spatial,11,odd_even_blocks,0,2,1,253,52,0.5696039035591275,0.5421928817451205,0.9905153512954712,0.009484648704528809
child_spatial,11,odd_even_blocks,0,3,1,306,58,0.48213292547274755,0.4888070077864294,1.0290007591247559,-0.02900075912475586
child_spatial,11,odd_even_blocks,0,4,2,573,111,0.5446842946842947,0.5087750087750088,0.9984966516494751,0.0015033483505249023
child_spatial,11,odd_even_blocks,0,5,1,299,56,0.4748677248677248,0.4894179894179894,1.0072736740112305,-0.007273674011230469
child_spatial,11,odd_even_blocks,0,6,1,226,40,0.5189516129032258,0.553494623655914,1.0054540634155273,-0.005454063415527344
child_spatial,11,odd_even_blocks,0,8,1,289,53,0.46006555804285254,0.4925647585545251,1.013594150543213,-0.01359415054321289
child_spatial,11,odd_even_blocks,0,10,1,299,57,0.6486515876468031,0.607039292445991,0.9696570038795471,0.03034299612045288
child_spatial,11,odd_even_blocks,0,11,1,256,53,0.5074356352820893,0.545775629705363,1.0166971683502197,-0.016697168350219727
child_spatial,11,odd_even_blocks,0,12,1,295,57,0.5637254901960784,0.572718561108654,0.9945776462554932,0.005422353744506836
child_spatial,11,odd_even_blocks,0,13,1,298,56,0.5148317591499411,0.49173553719008267,1.0041301250457764,-0.004130125045776367
child_spatial,11,odd_even_blocks,0,14,1,295,55,0.5372348484848485,0.5589015151515151,1.0021507740020752,-0.0021507740020751953
child_spatial,11,odd_even_blocks,0,15,1,275,51,0.562062324929972,0.5565476190476191,0.992993950843811,0.007006049156188965
child_spatial,11,odd_even_blocks,0,16,1,290,54,0.5259730069052103,0.5066698053986189,1.0030205249786377,-0.0030205249786376953
child_spatial,11,odd_even_blocks,0,17,1,242,46,0.4871894409937888,0.48203194321206744,1.0041576623916626,-0.004157662391662598
child_spatial,11,odd_even_blocks,0,18,1,281,52,0.5105391333557273,0.49500335908632853,1.0108518600463867,-0.010851860046386719
child_spatial,11,odd_even_blocks,0,19,1,300,58,0.6075448845825021,0.5572100313479624,0.9815152883529663,0.01848471164703369
