model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,0,7,1,993,198,0.4874150308112572,0.5044311034877073,1.0086796283721924,-0.008679628372192383
shared,11,0,12,1,989,196,0.5450690995187482,0.5220423604498545,0.995367169380188,0.004632830619812012
shared,11,0,14,1,999,200,0.5236389236545682,0.5203629536921152,1.0013591051101685,-0.001359105110168457
shared,11,0,21,1,943,184,0.5755141204101506,0.5517951251646904,0.9915440082550049,0.008455991744995117
shared,11,0,23,1,994,200,0.49730793450881616,0.5094836272040302,1.0065525770187378,-0.006552577018737793
shared,11,0,24,2,1958,395,0.4758683803461373,0.4877701920195664,1.0179753303527832,-0.017975330352783203
shared,11,0,29,1,622,134,0.5207364815267923,0.5011928064595057,1.0092132091522217,-0.00921320915222168
shared,11,0,30,1,997,199,0.5754115187466152,0.5487745746275235,0.9899672865867615,0.010032713413238525
shared,11,0,33,1,986,196,0.5268244639628002,0.5074399380005167,0.9989479780197144,0.0010520219802856445
shared,11,0,37,1,989,199,0.49708669931938176,0.48784746517397115,1.0045173168182373,-0.004517316818237305
shared,11,0,42,1,993,197,0.5288562099839298,0.5348921000943805,0.9996521472930908,0.0003478527069091797
shared,11,0,48,1,983,198,0.5766518690085569,0.5567811876729074,0.9861640930175781,0.013835906982421875
shared,11,0,49,1,994,196,0.5700283872947675,0.550483351235231,0.9910173416137695,0.008982658386230469
shared,11,0,57,1,998,200,0.5844141604010025,0.5488157894736843,0.9883297681808472,0.011670231819152832
shared,11,0,66,1,913,182,0.5884307211256596,0.5701883615700305,0.9869106411933899,0.013089358806610107
shared,11,1,5,1,997,200,0.5215715181932246,0.5171486825595986,1.0042177438735962,-0.004217743873596191
shared,11,1,8,1,990,199,0.5430407409995617,0.5164603040486885,0.9958683252334595,0.004131674766540527
shared,11,1,10,1,996,200,0.5821356783919598,0.5597236180904522,0.9929628372192383,0.007037162780761719
shared,11,1,11,1,942,191,0.5047650253414295,0.5144275346658208,1.0098991394042969,-0.009899139404296875
shared,11,1,20,2,1884,374,0.5141932570740518,0.5185678365265431,1.008857250213623,-0.008857250213623047
