model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,0,7,1,553,97,0.5411240730692711,0.5296843913908482,0.9966157674789429,0.003384232521057129
shared,11,0,12,1,977,194,0.4832918592250266,0.48629379468341427,1.0043976306915283,-0.00439763069152832
shared,11,0,14,1,986,197,0.5269054833915577,0.5048284469835878,0.9981256723403931,0.0018743276596069336
shared,11,0,21,1,874,173,0.4879651694936218,0.500523612015865,1.0035507678985596,-0.0035507678985595703
shared,11,0,23,1,988,199,0.567441134697569,0.5502671787327003,0.9933749437332153,0.006625056266784668
shared,11,0,24,2,1832,366,0.49828163323120045,0.48915863395433096,1.0018396377563477,-0.0018396377563476562
shared,11,0,29,1,446,84,0.4831623257037621,0.502893975269666,1.0045713186264038,-0.004571318626403809
shared,11,0,30,1,989,196,0.4957633116298221,0.4904071338497568,1.0036286115646362,-0.0036286115646362305
shared,11,0,33,1,967,193,0.5075511105755713,0.5079092527881539,1.0014758110046387,-0.0014758110046386719
shared,11,0,37,1,737,156,0.4750375126881151,0.4631879165011695,1.0045959949493408,-0.00459599494934082
shared,11,0,42,1,978,195,0.4901955005403282,0.46981039394832497,1.0027458667755127,-0.0027458667755126953
shared,11,0,48,1,764,151,0.5066765338202089,0.4945388546179359,0.9994707107543945,0.0005292892456054688
shared,11,0,49,1,994,196,0.526318986241113,0.5209452201933404,0.9992710947990417,0.000728905200958252
shared,11,0,57,1,998,200,0.5432581453634084,0.5205075187969925,0.9962407350540161,0.0037592649459838867
shared,11,0,66,1,861,174,0.5235740935936689,0.5141293981830046,0.9991167783737183,0.0008832216262817383
shared,11,1,5,1,995,200,0.4961477987421384,0.5005974842767296,1.0070738792419434,-0.007073879241943359
shared,11,1,8,1,965,196,0.5514218040922481,0.5674411507125607,0.9965033531188965,0.0034966468811035156
shared,11,1,10,1,991,198,0.5194536792897448,0.5235456710866546,1.000800371170044,-0.0008003711700439453
shared,11,1,11,1,893,181,0.4887252467564716,0.48779797007883796,1.002780795097351,-0.0027807950973510742
shared,11,1,20,2,1813,365,0.4674931885264512,0.4741324831605237,1.0063526630401611,-0.006352663040161133
shared,11,1,25,2,1779,355,0.5006013609748378,0.5019227725905998,1.001378059387207,-0.0013780593872070312
shared,11,1,27,1,991,199,0.48022942997817364,0.4774345210903,1.005387306213379,-0.005387306213378906
shared,11,1,40,1,774,151,0.4749821946786006,0.5095776684064504,1.0024914741516113,-0.002491474151611328
shared,11,1,43,1,972,191,0.513752673106703,0.49015894510327074,0.9997090697288513,0.00029093027114868164
shared,11,1,45,2,1946,393,0.4979363589146182,0.49718184782305935,1.0008301734924316,-0.0008301734924316406
shared,11,1,50,1,730,149,0.5426827155217225,0.5351684783236493,0.9982321858406067,0.0017678141593933105
shared,11,1,56,1,996,200,0.5057883165829146,0.5111809045226131,1.0024638175964355,-0.002463817596435547
shared,11,1,58,1,975,195,0.5180999342537804,0.5121794871794871,0.9998842477798462,0.0001157522201538086
shared,11,1,62,1,918,189,0.49118891574309953,0.5024495394865766,1.0025885105133057,-0.002588510513305664
shared,11,1,69,1,965,191,0.49412854958940433,0.5041363962282019,1.0030040740966797,-0.0030040740966796875
shared,11,2,4,2,1931,389,0.5043678459850827,0.4954362677923039,1.0009185075759888,-0.0009185075759887695
shared,11,2,6,1,779,158,0.5101561385270796,0.5052691656984447,1.0020835399627686,-0.0020835399627685547
shared,11,2,9,1,457,69,0.41961751083221277,0.4653182429403855,1.0122411251068115,-0.012241125106811523
shared,11,2,16,1,978,194,0.5612244897959184,0.5520592257521565,0.9986521005630493,0.0013478994369506836
shared,11,2,31,2,1776,356,0.49854802975154294,0.5092696629213483,1.00178062915802,-0.0017806291580200195
shared,11,2,32,1,1000,200,0.5326500000000001,0.505625,0.9979645013809204,0.00203549861907959
shared,11,2,46,1,865,176,0.49150613537405985,0.46656880854994065,1.0008926391601562,-0.00089263916015625
shared,11,2,47,1,999,200,0.49244680851063827,0.49161451814768464,1.0018309354782104,-0.0018309354782104492
shared,11,2,55,1,658,128,0.5582399764150944,0.525221108490566,0.9951949119567871,0.004805088043212891
shared,11,2,59,2,1843,373,0.4990707811274644,0.5030949645273659,1.00119149684906,-0.0011914968490600586
shared,11,2,63,1,949,190,0.47197836488454337,0.49056237431523475,1.0069496631622314,-0.006949663162231445
shared,11,2,65,1,987,197,0.5677921994474073,0.5550086744200989,0.9952437877655029,0.00475621223449707
shared,11,2,67,1,997,200,0.525138017565872,0.5163644918444166,0.9992941617965698,0.0007058382034301758
shared,11,2,68,1,727,152,0.5024141876430206,0.4968764302059496,1.0005561113357544,-0.0005561113357543945
shared,11,2,70,1,793,158,0.540137546097877,0.5403119704973587,1.000471830368042,-0.0004718303680419922
shared,11,3,0,1,871,170,0.5079592179239741,0.5164806578836956,1.0014644861221313,-0.0014644861221313477
shared,11,3,1,2,1971,395,0.5093860438218852,0.5173287605217503,1.0002061128616333,-0.00020611286163330078
shared,11,3,2,1,849,173,0.5231769675411294,0.5223475390771967,0.9977870583534241,0.0022129416465759277
shared,11,3,3,1,992,199,0.5116122858935283,0.5134372999930295,0.9996309280395508,0.00036907196044921875
shared,11,3,19,1,996,200,0.51178391959799,0.4897989949748744,0.9999186992645264,8.130073547363281e-05
shared,11,3,22,2,988,185,0.47401635757800137,0.4848372656591835,1.0028083324432373,-0.0028083324432373047
shared,11,3,36,1,875,173,0.5163323617080843,0.5104038008662286,0.9990503191947937,0.0009496808052062988
