child,seed,train_record,test_record,same_day,within_record_auc,across_record_auc,across_j_bits,n_test
1,11,B018a1ddd7825,B3d0ede4734d3,False,0.5015609479211012,0.5473122478198621,0.0034388303756713867,983
1,11,B3d0ede4734d3,B018a1ddd7825,False,0.5131116085705149,0.5404172762546913,-0.0008448362350463867,989
1,22,B018a1ddd7825,B3d0ede4734d3,False,0.5719455087271179,0.4735780294155929,-0.005915164947509766,983
1,22,B3d0ede4734d3,B018a1ddd7825,False,0.6105292612727854,0.5604414477450544,-0.014816522598266602,989
1,33,B018a1ddd7825,B3d0ede4734d3,False,0.5269263516389954,0.5032929845112586,-0.06576287746429443,983
1,33,B3d0ede4734d3,B018a1ddd7825,False,0.5246242404860889,0.49732841422301377,-0.0026166439056396484,989
4,11,B1329b9cb691b,Bd007dc424ddc,False,0.4911111111111111,0.4569200892170435,-0.008480072021484375,986
4,11,Bd007dc424ddc,B1329b9cb691b,False,0.6044488859278999,0.5301821538800706,-0.0112992525100708,948
4,22,B1329b9cb691b,Bd007dc424ddc,False,0.5887654320987654,0.5572123519458545,-0.030222773551940918,986
4,22,Bd007dc424ddc,B1329b9cb691b,False,0.6193648678658672,0.5581356095679012,0.0050536394119262695,948
4,33,B1329b9cb691b,Bd007dc424ddc,False,0.5745679012345679,0.5301908680715788,-0.00826418399810791,986
4,33,Bd007dc424ddc,B1329b9cb691b,False,0.4658005773928492,0.570371059303351,0.006348788738250732,948
20,11,B3f16ac6256e6,Bd25987f72256,False,0.49841448445171854,0.5295347146492184,0.0019478201866149902,982
20,11,Bd25987f72256,B3f16ac6256e6,False,0.5456931262582687,0.5191635287789134,-0.01634812355041504,829
20,22,B3f16ac6256e6,Bd25987f72256,False,0.5457242225859248,0.5385281975385574,-0.0006316900253295898,982
20,22,Bd25987f72256,B3f16ac6256e6,False,0.5411993097497844,0.4976645149722073,-0.01201009750366211,829
20,33,B3f16ac6256e6,Bd25987f72256,False,0.403078968903437,0.5061633431998753,-0.00036525726318359375,982
20,33,Bd25987f72256,B3f16ac6256e6,False,0.5347641645096348,0.4901784113322575,-0.002368927001953125,829
22,11,Bf9d7dd3adf2b,B4a77825e7c06,False,0.5206043956043955,0.5191441441441442,-0.026464343070983887,135
22,22,Bf9d7dd3adf2b,B4a77825e7c06,False,0.49847919937205654,0.4996246246246246,-0.0024029016494750977,135
22,33,Bf9d7dd3adf2b,B4a77825e7c06,False,0.5528846153846154,0.4692192192192193,-0.008989691734313965,135
24,11,B4c144b0e31ac,Bf454d333d715,False,0.577397858859515,0.565513334936648,0.007201433181762695,993
24,11,Bf454d333d715,B4c144b0e31ac,False,0.4734020185029436,0.5041095156929063,-0.0014224052429199219,838
24,22,B4c144b0e31ac,Bf454d333d715,False,0.5170417303910859,0.5051517030998823,-0.005364179611206055,993
24,22,Bf454d333d715,B4c144b0e31ac,False,0.5953532380151387,0.5669926912196472,-0.015319108963012695,838
24,33,B4c144b0e31ac,Bf454d333d715,False,0.5407472143325323,0.487535283470248,-0.00035512447357177734,993
24,33,Bf454d333d715,B4c144b0e31ac,False,0.580564900476591,0.5037793265927162,-0.011324405670166016,838
25,11,B4cb60380085a,B7116e2ba0693,False,0.5116460905349794,0.5110165118679051,-0.03770947456359863,854
25,11,B7116e2ba0693,B4cb60380085a,False,0.6089144500359454,0.45313595722300143,-0.010501503944396973,922
