child,seed,train_record,test_record,same_day,within_record_auc,across_record_auc,across_j_bits,n_test
10,11,M0693,M0701,True,0.45132743362831856,0.52830828768156,-0.002686142921447754,495
10,11,M0693,M0709,True,0.45132743362831856,0.5424858604901697,0.0012871026992797852,361
10,11,M0693,M0725,True,0.45132743362831856,0.5204354469060352,-0.03123295307159424,304
10,11,M0693,M0733,True,0.45132743362831856,0.5394778481012659,-0.024173974990844727,198
10,11,M0693,M0741,True,0.45132743362831856,0.5407063197026023,-0.007311701774597168,329
10,11,M0701,M0693,True,0.61546875,0.46993337269123725,-0.012776851654052734,405
10,11,M0701,M0709,True,0.61546875,0.5380195708770985,0.0021129846572875977,361
10,11,M0701,M0725,True,0.61546875,0.45002546473134714,-0.012160897254943848,304
10,11,M0701,M0733,True,0.61546875,0.4700949367088607,-0.013744235038757324,198
10,11,M0701,M0741,True,0.61546875,0.4177509293680297,-0.021106719970703125,329
10,11,M0709,M0693,True,0.5766941391941391,0.5027409968794805,-0.08360004425048828,405
10,11,M0709,M0701,True,0.5766941391941391,0.5042971302206364,-0.05106496810913086,495
10,11,M0709,M0725,True,0.5766941391941391,0.4998408454290807,-0.12363028526306152,304
10,11,M0709,M0733,True,0.5766941391941391,0.5234177215189874,-0.14503812789916992,198
10,11,M0709,M0741,True,0.5766941391941391,0.543184634448575,-0.05818450450897217,329
10,22,M0693,M0701,True,0.41674860701409366,0.4998869176257727,-0.02494668960571289,495
10,22,M0693,M0709,True,0.41674860701409366,0.5179100457850795,-0.0186614990234375,361
10,22,M0693,M0725,True,0.41674860701409366,0.5681818181818182,-0.027597784996032715,304
10,22,M0693,M0733,True,0.41674860701409366,0.540743670886076,-0.060106873512268066,198
10,22,M0693,M0741,True,0.41674860701409366,0.529460966542751,-0.028365373611450195,329
10,22,M0701,M0693,True,0.42531250000000004,0.5150333136543814,-0.011072874069213867,405
10,22,M0701,M0709,True,0.42531250000000004,0.4756710656252805,-0.009991288185119629,361
10,22,M0701,M0725,True,0.42531250000000004,0.4575693913929208,-0.027575254440307617,304
10,22,M0701,M0733,True,0.42531250000000004,0.5069620253164557,-0.018973708152770996,198
10,22,M0701,M0741,True,0.42531250000000004,0.5528500619578686,-0.0022050142288208008,329
10,22,M0709,M0693,True,0.5004578754578755,0.4667285148013831,-0.049433231353759766,405
10,22,M0709,M0701,True,0.5004578754578755,0.5090968487711716,-0.009816288948059082,495
10,22,M0709,M0725,True,0.5004578754578755,0.5961293608352433,0.015255331993103027,304
10,22,M0709,M0733,True,0.5004578754578755,0.5784810126582278,0.009983062744140625,198
10,22,M0709,M0741,True,0.5004578754578755,0.5629491945477076,0.010175824165344238,329
10,33,M0693,M0701,True,0.5099967223861028,0.4886540684525305,-0.02148723602294922,495
10,33,M0693,M0709,True,0.5099967223861028,0.49925935900888774,-0.014289259910583496,361
10,33,M0693,M0725,True,0.5099967223861028,0.523109243697479,-0.014988541603088379,304
10,33,M0693,M0733,True,0.5099967223861028,0.5570411392405064,0.005035519599914551,198
10,33,M0693,M0741,True,0.5099967223861028,0.4739157372986369,-0.039356350898742676,329
10,33,M0701,M0693,True,0.43343750000000003,0.5012861600742178,-0.016905546188354492,405
10,33,M0701,M0709,True,0.43343750000000003,0.48157374988778173,-0.006913185119628906,361
10,33,M0701,M0725,True,0.43343750000000003,0.4901324166030049,-0.01272571086883545,304
10,33,M0701,M0733,True,0.43343750000000003,0.4814873417721519,-0.013499975204467773,198
10,33,M0701,M0741,True,0.43343750000000003,0.42208798017348204,-0.027791261672973633,329
10,33,M0709,M0693,True,0.5856227106227107,0.5602386775744286,-0.06791388988494873,405
10,33,M0709,M0701,True,0.5856227106227107,0.4973362818515354,-0.11774802207946777,495
10,33,M0709,M0725,True,0.5856227106227107,0.4983766233766234,-0.2844963073730469,304
10,33,M0709,M0733,True,0.5856227106227107,0.4816455696202532,-0.38516008853912354,198
10,33,M0709,M0741,True,0.5856227106227107,0.5052664188351921,-0.30580437183380127,329
21,11,M0901,M0909,True,0.5384615384615384,0.4747264021887824,-0.10934782028198242,426
21,22,M0901,M0909,True,0.4875,0.48372093023255813,-0.07316076755523682,426
21,33,M0901,M0909,True,0.48442307692307696,0.5058994528043775,0.0006933212280273438,426
22,11,M0925,M0917,True,0.49846153846153846,0.5110298874369259,-0.022446155548095703,321
22,22,M0925,M0917,True,0.5575824175824176,0.4995471600465779,-0.039881110191345215,321
22,33,M0925,M0917,True,0.4837362637362637,0.5473217751326174,0.0045653581619262695,321
23,11,M0933,M0941,True,0.6177777777777779,0.6218580096131117,0.034554243087768555,417
23,11,M0933,M0949,True,0.6177777777777779,0.6597719141323792,0.02966594696044922,422
23,11,M0941,M0933,True,0.5481481481481482,0.5341035885253573,-0.00025260448455810547,424
23,11,M0941,M0949,True,0.5481481481481482,0.6290995825879546,0.020279288291931152,422
23,22,M0933,M0941,True,0.45666666666666667,0.47811441178788117,-0.0032171010971069336,417
23,22,M0933,M0949,True,0.45666666666666667,0.5250447227191413,-0.0016865730285644531,422
23,22,M0941,M0933,True,0.639766081871345,0.6522333801245367,0.015624701976776123,424
23,22,M0941,M0949,True,0.639766081871345,0.6976930530709601,0.05165451765060425,422
23,33,M0933,M0941,True,0.4248148148148148,0.4438775510204082,-0.0069876909255981445,417
23,33,M0933,M0949,True,0.4248148148148148,0.44987328562909956,-0.004012703895568848,422
23,33,M0941,M0933,True,0.5089668615984406,0.5062988158226254,-0.00015783309936523438,424
23,33,M0941,M0949,True,0.5089668615984406,0.5031492248062016,-0.002255678176879883,422
27,11,M0974,M0982,True,0.5022796352583587,0.4785524525367718,-0.11474192142486572,314
27,11,M0982,M0974,True,0.5485529322162986,0.5705072714681441,-0.016982555389404297,380
27,22,M0974,M0982,True,0.5509118541033435,0.49896326054558415,-0.09157407283782959,314
27,22,M0982,M0974,True,0.4590632140137091,0.5249307479224377,-0.027189254760742188,380
27,33,M0974,M0982,True,0.39950607902735563,0.5491803278688525,-0.09509718418121338,314
27,33,M0982,M0974,True,0.5289413556740289,0.5729310941828254,0.006564021110534668,380
28,11,M0990,M0998,True,0.5081944444444444,0.492972972972973,-0.003866434097290039,460
28,11,M0998,M0990,True,0.4981967213114754,0.49054850148707385,-0.010430097579956055,469
28,22,M0990,M0998,True,0.49736111111111114,0.4916216216216217,-0.009473085403442383,460
28,22,M0998,M0990,True,0.6701639344262296,0.5014870738961337,0.0020914673805236816,469
28,33,M0990,M0998,True,0.5361111111111111,0.5391591591591591,-0.004463553428649902,460
28,33,M0998,M0990,True,0.5140983606557377,0.5014298787462823,-0.004042148590087891,469
33,11,M1038,M1046,True,0.5295333009236752,0.5361619802295073,-0.0024253129959106445,486
33,11,M1046,M1038,True,0.5948717948717949,0.5199116266224799,-0.0001614093780517578,457
33,22,M1038,M1046,True,0.5119105493437044,0.5373280682691544,0.0035047531127929688,486
33,22,M1046,M1038,True,0.47628205128205126,0.46790941728804203,-0.004135608673095703,457
33,33,M1038,M1046,True,0.4603791929995139,0.4985291389499907,-0.006182670593261719,486
33,33,M1046,M1038,True,0.4985576923076923,0.48198011599005797,-0.004601478576660156,457
37,11,M1091,M1099,False,0.5695354801937874,0.5066318437893125,-0.004359006881713867,483
37,11,M1099,M1091,False,0.5261938702779757,0.46146747309538005,-0.012350082397460938,478
37,22,M1091,M1099,False,0.6118552294100884,0.5202647267953836,0.0009070038795471191,483
37,22,M1099,M1091,False,0.5586243763364219,0.49095607235142114,-0.009238004684448242,478
37,33,M1091,M1099,False,0.5994585351952123,0.5224115298364601,-0.00145721435546875,483
37,33,M1099,M1091,False,0.5732359230220955,0.49700428770196214,-0.07094693183898926,478
38,11,M1107,M1115,True,0.5842105263157895,0.5387183235867447,0.004903614521026611,357
38,11,M1115,M1107,True,0.4211040547142159,0.537429097872033,0.00317460298538208,400
38,22,M1107,M1115,True,0.4797270955165692,0.5207358674463938,-0.007172346115112305,357
38,22,M1115,M1107,True,0.4311187103077675,0.4874453556848153,-0.005093932151794434,400
38,33,M1107,M1115,True,0.40721247563352825,0.46978557504873303,-0.012305974960327148,357
38,33,M1115,M1107,True,0.42696629213483145,0.4212399291881932,-0.08241713047027588,400
39,11,M1123,M1131,True,0.5652472527472527,0.5274502840909091,-0.009679317474365234,432
39,11,M1131,M1123,True,0.3744993324432577,0.4983776768332252,-0.00034165382385253906,404
39,22,M1123,M1131,True,0.5027472527472527,0.5264204545454545,9.965896606445312e-05,432
39,22,M1131,M1123,True,0.5178571428571429,0.500410988535583,-0.004742264747619629,404
39,33,M1123,M1131,True,0.381353021978022,0.4827947443181818,-0.010496735572814941,432
39,33,M1131,M1123,True,0.5282042723631509,0.5342634652822842,0.0009101033210754395,404
43,11,M1150,M1151,True,0.4630796370967742,0.49005440326419586,-0.010858654975891113,414
43,22,M1150,M1151,True,0.5230594758064515,0.4903731723903434,-0.01017773151397705,414
43,33,M1150,M1151,True,0.4422883064516129,0.4601538592315539,-0.011240124702453613,414
