child,n_dev,frontal_shift_sd,kurtosis_dev,kurtosis_std,bic2_minus_bic1_dev,bic2_minus_bic1_std_matched,frac_dev_beyond_3sd,frac_std_beyond_3sd,frontal_mean_top10pct_logit,frontal_mean_bottom10pct_logit,frontal_auc_std_vs_dev
0,120,-0.0008281329646706581,1.0324139595031738,6.515132904052734,14.572502923048319,-1.9329959630600797,0.0,0.008486562942008486,-0.07179511338472366,0.19964492321014404,0.4977487034417728
1,39,0.005011393688619137,7.026581764221191,13.242778778076172,-6.641058492702371,-10.8391404629172,0.02564102564102564,0.02127659574468085,-0.2406710982322693,0.5694904327392578,0.524277141298418
2,145,-0.06776201725006104,0.2248377799987793,19.817230224609375,16.077844554974718,-57.34062964241298,0.0,0.01097560975609756,-0.1072894036769867,0.24119265377521515,0.4843061396131203
3,131,0.1762721836566925,4.47589635848999,9.540624618530273,-1.5385551689921044,11.011328435057578,0.030534351145038167,0.010884353741496598,-0.3157537579536438,-0.1808454543352127,0.5518616606948124
4,128,0.003354438813403249,1.5290923118591309,7.763991355895996,6.004027803477584,-15.544495145741166,0.0,0.016717325227963525,-0.3272864818572998,-0.03779440373182297,0.5025052241641338
5,147,0.035957738757133484,2.2975754737854004,9.966373443603516,-0.05578682866826057,16.036602516500807,0.013605442176870748,0.00980392156862745,-0.14561131596565247,0.2627658545970917,0.4958650126717354
6,259,-0.06955336034297943,18.330156326293945,23.290170669555664,-343.94352376473046,-350.6324518920194,0.02702702702702703,0.02606310013717421,-0.37884166836738586,0.3563193380832672,0.4505590246330987
7,132,0.005961975082755089,10.957864761352539,20.171348571777344,-29.862960122743857,-24.56962134710909,0.03787878787878788,0.02600780234070221,-1.5220364332199097,1.082399606704712,0.4961874926114198
8,141,0.02257585898041725,1.0281009674072266,0.6295914649963379,15.52988176578475,15.252171566428672,0.02127659574468085,0.007263922518159807,-0.11656998842954636,0.0783161148428917,0.5074957498325692
9,91,0.008586948737502098,7.762050628662109,11.289578437805176,-10.204354950221784,-27.427774854930647,0.01098901098901099,0.026584867075664622,-0.19612614810466766,0.020683936774730682,0.5364839659318187
10,116,0.016754280775785446,0.654871940612793,51.9782600402832,5.849776043595,-31.365963206588106,0.0,0.008968609865470852,-0.1389256864786148,0.014598017558455467,0.4957991856089893
11,69,-0.07397449016571045,0.25099778175354004,1.7360949516296387,8.730336319440568,12.161513220304215,0.014492753623188406,0.01256281407035176,0.015250406228005886,0.1282167285680771,0.5026582186293789
12,110,-0.0022739230189472437,17.342241287231445,12.388731956481934,-45.854677963139125,-45.785310077549525,0.02727272727272727,0.01746031746031746,-0.46853622794151306,0.4152248501777649,0.5026406926406927
13,142,-0.2268938273191452,20.31756019592285,8.416893005371094,-57.94422489332783,-47.74066978621113,0.02112676056338028,0.018337408312958436,-0.4441976547241211,0.18097633123397827,0.4545697165880367
14,112,-0.017164884135127068,3.6716647148132324,6.64479923248291,-5.20024679431782,13.968496339227102,0.026785714285714284,0.020440251572327043,-0.2765728533267975,0.27398794889450073,0.5050819856244385
15,141,-0.07124017179012299,16.295690536499023,15.006237030029297,-33.87406010395097,-61.23340601688426,0.0070921985815602835,0.017521902377972465,-0.4300974905490875,0.510503351688385,0.47335765451495226
16,137,-0.13242661952972412,13.655954360961914,16.372325897216797,-135.73282789436007,-115.41361402717257,0.021897810218978103,0.02529960053262317,-1.3889305591583252,1.6765540838241577,0.47905955076929063
17,119,0.09508132934570312,3.949535369873047,6.54383659362793,-19.888424551259334,-9.040604507695491,0.025210084033613446,0.019746121297602257,0.8149758577346802,-0.6353455781936646,0.536949899847104
18,199,0.030405227094888687,65.91336822509766,32.42584228515625,-162.1673408034602,-5.366279411629762,0.005025125628140704,0.016433853738701727,-0.2916295826435089,0.8563932180404663,0.48259374109660874
