child,source,class,n,rho
0,non-CI,0,849,-0.02204085617313296
0,non-CI,1,149,0.06087798011791015
0,non-CI,-1,998,-0.010585152382949022
1,non-CI,0,179,0.16391643537383654
1,non-CI,1,36,0.0877791365483286
1,non-CI,-1,215,0.15785908472641502
2,non-CI,0,848,0.00453364190050423
2,non-CI,1,150,-0.08443234709515463
2,non-CI,-1,998,-0.009475530396230008
3,non-CI,0,849,0.02637339910138706
3,non-CI,1,149,0.0004498458189733358
3,non-CI,-1,998,0.020297982995021207
4,non-CI,0,848,-0.0678823353594977
4,non-CI,1,150,-0.11427540270719011
4,non-CI,-1,998,-0.0759406616589268
5,non-CI,0,849,-0.03720365130903974
5,non-CI,1,150,0.18616732373590061
5,non-CI,-1,999,0.00010479520053327669
6,non-CI,0,849,0.02822515585073401
6,non-CI,1,150,-0.013691275167785235
6,non-CI,-1,999,0.026391212735288765
7,non-CI,0,132,-0.09546705626100502
7,non-CI,-1,152,-0.07031566357705363
8,non-CI,0,156,-0.028460138499588866
8,non-CI,-1,182,-0.03646253222258716
9,non-CI,0,848,-0.018810970145942706
9,non-CI,1,150,0.17404584224289535
9,non-CI,-1,998,0.06605166117257376
10,CI,0,3191,-0.1439257230748644
10,CI,1,711,-0.12634324361336213
10,CI,-1,3902,-0.14087510208249915
11,CI,0,3447,0.04714717494135137
11,CI,1,864,0.02006267410853854
11,CI,-1,4311,0.04147286589594954
12,non-CI,0,800,0.017575179400023205
12,non-CI,1,199,-0.0152002436424547
12,non-CI,-1,999,0.01784922015748625
13,non-CI,0,799,-0.02109788750521143
13,non-CI,1,200,0.11544288607215182
13,non-CI,-1,999,0.007427230974828905
14,non-CI,0,329,-0.0027492104886500538
14,non-CI,1,66,0.03433879553282539
14,non-CI,-1,395,0.009082344415078663
15,non-CI,0,798,-0.013302201386594437
15,non-CI,1,200,0.09566132089800586
15,non-CI,-1,998,0.008344013951671335
16,non-CI,0,799,-0.038326450551092045
16,non-CI,1,199,0.07036089538602101
16,non-CI,-1,998,-0.01346856686317158
17,non-CI,0,269,0.06377133155249232
17,non-CI,1,54,0.07901658090337334
17,non-CI,-1,323,0.05955357078472683
18,non-CI,0,508,0.12442426157467933
18,non-CI,1,122,-0.1062256295023462
18,non-CI,-1,630,0.15224730813109422
19,non-CI,0,798,0.03918062693310335
19,non-CI,1,200,0.02680794030446284
19,non-CI,-1,998,0.04535916081167993
20,non-CI,0,799,0.056032146392607396
20,non-CI,1,200,0.1628381320176114
20,non-CI,-1,999,0.29459810813133375
21,CI,0,798,-0.0004170209658428525
21,CI,1,202,-0.0395668632161421
21,CI,-1,1000,0.016295466690900366
22,CI,0,801,0.11183858742050024
22,CI,1,199,-0.016849430579862098
22,CI,-1,1000,0.08607080489204724
23,CI,0,1222,0.02307157522089024
23,CI,1,278,0.027147731582354447
23,CI,-1,1500,0.02684003610746757
24,non-CI,0,775,-0.012816582168404438
24,non-CI,1,191,-0.050834445971022026
24,non-CI,-1,966,-0.013889860495822345
25,non-CI,0,537,-0.08988743779333142
25,non-CI,1,128,-0.022992583775865227
25,non-CI,-1,665,-0.07937974646845307
26,non-CI,0,799,0.07393255508992687
26,non-CI,1,200,0.09265367057720246
26,non-CI,-1,999,0.09477792560397537
27,CI,0,810,0.031221190721229534
27,CI,1,190,0.18156998079841838
27,CI,-1,1000,0.06084102986429181
28,CI,0,799,-0.011975880231093434
28,CI,1,201,-0.17952718321531566
28,CI,-1,1000,-0.04356519392371281
29,CI,0,281,0.04366841276498739
29,CI,1,68,-0.0133984807420697
29,CI,-1,349,0.04440118376244251
30,non-CI,0,800,-0.03568513966633271
30,non-CI,1,199,-0.010008013567871548
30,non-CI,-1,999,-0.020475480113540466
31,non-CI,0,799,0.0380034846788739
31,non-CI,1,200,0.00789770040414831
31,non-CI,-1,999,0.0338294683577673
32,non-CI,0,799,-0.011662860627544241
32,non-CI,1,200,-0.07988683704366834
32,non-CI,-1,999,-0.025766547132780822
33,CI,0,789,0.025912560936961048
33,CI,1,211,-0.04078775332671862
33,CI,-1,1000,0.011479837198050834
34,non-CI,0,800,0.04073509248843729
34,non-CI,1,199,0.04195302640678075
34,non-CI,-1,999,0.05214059752236703
35,non-CI,0,799,-0.12783546362120685
35,non-CI,1,199,0.24456915051362765
35,non-CI,-1,998,0.10419493610018753
36,non-CI,0,799,0.06582561202780124
36,non-CI,1,200,0.028501580108522665
36,non-CI,-1,999,0.05458956165951392
37,CI,0,724,0.04965029374538068
37,CI,1,193,0.09901314032370066
37,CI,-1,917,0.06146396779802076
38,non-CI,0,809,0.034022385156427276
38,non-CI,1,191,-0.10381915112561237
38,non-CI,-1,1000,0.008136174014880817
39,CI,0,797,0.01681269420331067
39,CI,1,203,-0.11728775605570531
39,CI,-1,1000,-0.00920837264487885
40,CI,0,825,0.049983419490293564
40,CI,1,175,-0.036730917035804625
40,CI,-1,1000,0.02924048497744355
41,non-CI,0,799,-0.018976085938270396
41,non-CI,1,200,0.11483475005785333
41,non-CI,-1,999,0.03202659970285699
42,non-CI,0,391,-0.013581890331093777
42,non-CI,1,109,-0.03887971198164447
42,non-CI,-1,500,-0.019874243312827968
43,non-CI,0,431,-0.004388271662764464
43,non-CI,1,69,-0.050383631713554984
43,non-CI,-1,500,-0.01301833188432832
44,non-CI,0,799,-0.0003954544557629964
44,non-CI,1,200,-0.033480837020925525
44,non-CI,-1,999,-0.006975032150792719
45,CI,0,841,0.021409761144798003
45,CI,1,188,0.09337790564323731
45,CI,-1,1029,0.034657793453881015
