model,MAE,RMSE,n
M0_C,6.904037516577511,11.398697810492852,52
M1_CQ,6.655023805227963,11.245500590220052,52
M2_MEAN_RIDGE,6.655023805227963,11.245500590220052,52
M3_MEAN_THEN_MLP,10.29802142662278,13.496968687233911,52
M4_MLP_THEN_MEAN,10.242974242664818,13.500111777745955,52
M1_CQ_amplitude,6.833795110047294,11.5555559700028,52
M4_amplitude,10.292404737220494,13.599849921764275,52
M4_mismatch,13.939862600958623,17.208509289694042,52
M3s,6.492413387166289,11.486581733638426,52
M4s,6.493196200441844,11.44223033063924,52
M4s_amplitude,6.49876888520374,11.513410472114723,52
M4s_mismatch,7.883883997986047,12.151588166168237,52
