mode,support_status,primary,endpoint,metric,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,invalid_replicates,valid_replicates,bootstrap_scope,comparison,units,status
L0,SUFFICIENT_FOR_SCREEN,False,post_delta,cosine,0.002516882836205255,-0.048850700052558274,0.04978404699832768,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,cosine,0.011087544786574949,-0.05615288404166528,0.07769568022431106,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,cosine_difference,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,pre_delta,cosine,-0.008570661950369693,-0.054718964367115236,0.04230464334861368,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,common_response,cosine,0.25981049434069875,0.1998361739932096,0.325444489644916,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,post_delta,inner_product,-5.566202544904247,-70.80494664155157,44.64697632366381,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,inner_product,20.790926379589795,-24.223360064212525,67.55194202787219,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,projected_inner_product,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,pre_delta,inner_product,-26.35712892449404,-74.28441674738413,10.182401489708747,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
L0,SUFFICIENT_FOR_SCREEN,False,common_response,inner_product,121.59154833469773,87.64387416148254,160.60845590088962,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,projected_inner_product,COMPUTED
R_RAND,SUFFICIENT_FOR_SCREEN,False,post_delta,cosine,0.0421325580939894,-0.004071748382763512,0.08532055058842011,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
R_RAND,SUFFICIENT_FOR_SCREEN,False,post_minus_pre,cosine,0.032960356368475496,-0.03204651638152378,0.0952191614333687,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,T_post_minus_T_pre; separate training-only feature axes,cosine_difference,COMPUTED
R_RAND,SUFFICIENT_FOR_SCREEN,False,pre_delta,cosine,0.0091722017255139,-0.036508039240539004,0.05535471574436821,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
R_RAND,SUFFICIENT_FOR_SCREEN,False,common_response,cosine,0.30422043698508605,0.2375119523460539,0.36773518599582655,49,2000,0,2000,fixed_oof_no_refit; shared identity draws within original folds,matched_minus_different_identity,cosine_difference,COMPUTED
