packet,source_run,mode,population,family,window,calibration,first,second,n_candidates,estimate,leave_one_out_min,leave_one_out_max,all_leave_one_out_positive,positive_candidates,negative_candidates,max_absolute_share,scope
N1,N1_core_001,L0,P_bal,logistic,,mixture_diagnostic,HP,HPB,59,-0.000966975411686,-0.0020891644587969,-0.0007495415785921,False,13,46,0.2457650442304445,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,mixture_diagnostic,HB,HPB,59,-0.0001813229346508,-0.0012941151069404,0.0003313307521204,False,26,33,0.1302521113524482,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,mixture_diagnostic,HPP,HPB,59,-0.0009353614320837,-0.0020065898475344,-0.0007170614848736,False,13,46,0.2421234852378943,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,mixture_diagnostic,HPBnoise,HPB,59,-0.0004321536436804,-0.0009913917766609,-0.0001289904257217,False,25,34,0.1134134703048461,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,raw,HP,HPB,59,-0.0013781072113164,-0.0014388706239757,-0.0012419703706143,False,17,42,0.0802772965980707,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,raw,HB,HPB,59,-0.0002976428074867,-0.0005507164825248,9.458606085495896e-05,False,27,32,0.0680517418709986,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,raw,HPP,HPB,59,-0.0013318989274108,-0.0013927082677568,-0.0011945431525726,False,17,42,0.0815985522535013,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,raw,HPBnoise,HPB,59,-0.0009039339011018,-0.001042215637041,-0.0006961145485765,False,23,36,0.0669527369796206,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,temperature,HP,HPB,59,-0.000966975411686,-0.0020891644587969,-0.0007495415785921,False,13,46,0.2457650442304445,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,temperature,HB,HPB,59,-0.0001813229346508,-0.0012941151069404,0.0003313307521204,False,26,33,0.1302521113524482,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,temperature,HPP,HPB,59,-0.0009353614320837,-0.0020065898475344,-0.0007170614848736,False,13,46,0.2421234852378943,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_bal,logistic,,temperature,HPBnoise,HPB,59,-0.0004321536436804,-0.0009913917766609,-0.0001289904257217,False,25,34,0.1134134703048461,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,mixture_diagnostic,HP,HPB,59,-0.0007196143005444,-0.0008845409150208,-0.0006096650971726,False,13,46,0.0861354586962905,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,mixture_diagnostic,HB,HPB,59,-0.0004786276476508,-0.0006766585035702,-0.0001358964441345,False,28,31,0.0701697381920775,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,mixture_diagnostic,HPP,HPB,59,-0.0006717854033166,-0.0008294242947867,-0.0005680802561628,False,13,46,0.0850484424881444,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,mixture_diagnostic,HPBnoise,HPB,59,-0.0004611953131113,-0.000563877111572,-0.0003183217723702,False,24,35,0.0633944623902387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,raw,HP,HPB,59,-0.0006951041640066,-0.0007512612498719,-0.000611955064673,False,17,42,0.0779574675453891,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,raw,HB,HPB,59,-0.0002916706371407,-0.0004564534432206,4.789335998862129e-07,False,28,31,0.0713702256872454,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,raw,HPP,HPB,59,-0.0006516340003798,-0.0007089777583968,-0.0005731803497967,False,17,42,0.0747881024097872,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,raw,HPBnoise,HPB,59,-0.0004838820584467,-0.0005656724621521,-0.000358762527874,False,23,36,0.0636259202213339,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,temperature,HP,HPB,59,-0.0007196143005444,-0.0008845409150208,-0.0006096650971726,False,13,46,0.0861354586962905,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,temperature,HB,HPB,59,-0.0004786276476508,-0.0006766585035702,-0.0001358964441345,False,28,31,0.0701697381920775,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,temperature,HPP,HPB,59,-0.0006717854033166,-0.0008294242947867,-0.0005680802561628,False,13,46,0.0850484424881444,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,L0,P_nat,logistic,,temperature,HPBnoise,HPB,59,-0.0004611953131113,-0.000563877111572,-0.0003183217723702,False,24,35,0.0633944623902387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HP,HPB,59,-0.0020314642566159,-0.0028759905576026,-0.0018210589972648,False,9,50,0.1778554630727269,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HB,HPB,59,-7.743969980734508e-05,-0.0007475560681241,0.0002876380497755,False,26,33,0.1034902751334387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HPP,HPB,59,-0.0017541201503801,-0.0023765493256822,-0.001541492408042,False,15,44,0.1528853282517089,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HPBnoise,HPB,59,-0.0013352210836806,-0.0015362355349185,-0.0011127047904541,False,24,35,0.0573324902155801,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HP,HPB,59,-0.0019643321045368,-0.0020867249833677,-0.001785290902366,False,15,44,0.0768167610375104,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HB,HPB,59,8.046888989628023e-05,-0.0001722813274985,0.0003926370980358,False,31,28,0.0622536644928504,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HPP,HPB,59,-0.0016686285516187,-0.0017955807490134,-0.0014690487562696,False,20,39,0.0815908638860097,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HPBnoise,HPB,59,-0.0013000413528724,-0.0014584169687132,-0.0010283672862554,False,23,36,0.0813169511807684,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HP,HPB,59,-0.0020314642566159,-0.0028759905576026,-0.0018210589972648,False,9,50,0.1778554630727269,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HB,HPB,59,-7.743969980734508e-05,-0.0007475560681241,0.0002876380497755,False,26,33,0.1034902751334387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HPP,HPB,59,-0.0017541201503801,-0.0023765493256822,-0.001541492408042,False,15,44,0.1528853282517089,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HPBnoise,HPB,59,-0.0013352210836806,-0.0015362355349185,-0.0011127047904541,False,24,35,0.0573324902155801,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HP,HPB,59,-0.0461014608278114,-0.0485329895054079,-0.0454498816187098,False,1,58,0.0326228188153986,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HB,HPB,59,-0.047053413037895,-0.051604476416171,-0.046318616242765,False,1,58,0.0675733434085973,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HPP,HPB,59,-0.0290348498557376,-0.031165251720653,-0.0285810445307884,False,2,57,0.0491121625902563,descriptive fixed predictions; no candidate removed from any reported effect
