mode,population,view,family,n_outer_folds,selector
L0,P_bal,H,logistic,5,saved inner OOF raw CE; no new selection
L0,P_bal,HB,logistic,5,saved inner OOF raw CE; no new selection
L0,P_bal,HBP,logistic,5,saved inner OOF raw CE; no new selection
L0,P_bal,HP,logistic,5,saved inner OOF raw CE; no new selection
L0,P_bal,Hnoise,logistic,5,saved inner OOF raw CE; no new selection
L0,P_nat,H,logistic,5,saved inner OOF raw CE; no new selection
L0,P_nat,HB,logistic,5,saved inner OOF raw CE; no new selection
L0,P_nat,HBP,logistic,5,saved inner OOF raw CE; no new selection
L0,P_nat,HP,logistic,5,saved inner OOF raw CE; no new selection
L0,P_nat,Hnoise,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_bal,H,mlp32,5,saved inner OOF raw CE; no new selection
R_SIM,P_bal,HB,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_bal,HBP,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_bal,HP,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_bal,Hnoise,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_nat,H,mlp32,5,saved inner OOF raw CE; no new selection
R_SIM,P_nat,HB,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_nat,HBP,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_nat,HP,logistic,5,saved inner OOF raw CE; no new selection
R_SIM,P_nat,Hnoise,logistic,5,saved inner OOF raw CE; no new selection
