packet,source_run,mode,bank,population,family,window,n_temperatures,parameter_records_are_independent,calibration_record_scope,lower_bound,upper_bound,lower_touch_count,upper_touch_count,minimum_temperature,maximum_temperature,mixture_primary
G0_within,,L0,,,,,57,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.5629730913950511,1.275393114730678,False
G0_within,,R_RAND,,,,,57,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,1.1249303687506085,1.3260141160269303,False
G0_within,,R_SIM,,,,,57,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,11,0.3960749501934074,15.999999109850934,False
G0_within,,R_SUP,,,,,57,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.3146587417213842,1.3364514716579785,False
G0_bridge,,L0,causal,,,,5,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.7562902217086034,0.865089837134871,False
G0_bridge,,L0,offline,,,,5,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,1.0677808470734818,1.5383690510886014,False
N1,,L0,,P_bal,logistic,,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.689015213311538,0.8959544761328583,False
N1,,L0,,P_nat,logistic,,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.8260923993083047,0.959123655647276,False
N1,,R_SIM,,P_bal,logistic,,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.689015213311538,0.8939725385746068,False
N1,,R_SIM,,P_bal,mlp32,,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.7582967194579927,3.0239984306820644,False
N1,,R_SIM,,P_nat,logistic,,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.8260923993083047,0.9524587516674898,False
N1,,R_SIM,,P_nat,mlp32,,40,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.8629154210244392,1.9437072761835976,False
N3,,L0,,P_bal,logistic,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.8405099552899206,1.1675204967994437,False
N3,,L0,,P_nat,logistic,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.9698652453667416,1.0341001371465486,False
N3,,R_SIM,,P_bal,logistic,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.8405099552899206,1.1336388062779406,False
N3,,R_SIM,,P_bal,mlp32,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.634581114359105,11.998989288395745,False
N3,,R_SIM,,P_nat,logistic,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.9698652453667416,1.0237010236386863,False
N3,,R_SIM,,P_nat,mlp32,,25,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.9143654318955886,2.8482584820913144,False
N2,,L0,,,logistic,post,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.3223987366573622,0.6050290997472155,False
N2,,L0,,,logistic,pre,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.3188701721064837,0.600413071308367,False
N2,,R_SIM,,,logistic,post,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.3115631051439141,0.6040560921590427,False
N2,,R_SIM,,,logistic,pre,30,False,applied final heads; G0 within repeats shared outer-fold calibration,0.25,16.0,0,0,0.3194379478021005,0.6004764735602105,False
