packet,mode,family,fits,neural_fits
A2,L0,ridge,5,0
A2,R_RAND,ridge,5,0
A2,R_SIM,ridge,5,0
A2,R_SUP,ridge,5,0
A2,synthetic,ridge,300,0
C2_R,R_SIM,logistic,325,0
C2_R,R_SIM,mlp32,400,400
C2_R,R_SIM,mlp64,160,160
C2_S,L0,logistic,390,0
E0_R,native128,mlp32,1024,1024
G0,L0,logistic,387,0
G0,R_RAND,logistic,257,0
G0,R_SIM,logistic,257,0
G0,R_SUP,logistic,257,0
G0,synthetic,logistic,60,0
GATES,R_SIM,logistic,1,0
GATES,synthetic,nonneural_test,300,0
N1,L0,logistic,240,0
N1,R_SIM,logistic,240,0
N1,R_SIM,mlp32,280,280
N1,synthetic,logistic,120,0
N1,synthetic,mlp32,360,360
N2,L0,logistic,240,0
N2,R_SIM,logistic,240,0
N2,R_SIM,mlp32,240,240
N2,synthetic,logistic,540,0
N3,L0,logistic,200,0
N3,R_SIM,logistic,200,0
N3,R_SIM,mlp32,200,200
N3,synthetic,logistic,270,0
N3,synthetic,mlp32,270,270
