task,model,n,MAE,RMSE
A,MEAN,38,7.850209394453876,10.343141539629046
A,SOURCE_TECH,38,7.375520371439334,9.894581962715023
A,SOURCE_TECH_Z,38,7.401248825390549,9.910009773293263
A,SOURCE_TECH_SHUFFLE,38,7.530712413249679,10.025386793523692
A,ALL_Q,38,7.923679530302451,10.855839896282902
A,ALL_Q_Z,38,7.954829108951246,10.863917289659241
A,Z_ONLY,38,7.868498891653991,10.342647629806414
V,MEAN,38,11.891205432937182,13.676418061749594
V,SOURCE_TECH,38,10.50606916637062,12.495354393546098
V,SOURCE_TECH_Z,38,10.55367280271613,12.542088073599094
V,SOURCE_TECH_SHUFFLE,38,10.565144132036833,12.628291397486253
V,ALL_Q,38,11.2158716812194,13.29796707751975
V,ALL_Q_Z,38,11.313363735467842,13.409537605448067
V,Z_ONLY,38,11.970374454947628,13.738189379223993
CAP,MEAN,36,1.6349206349206349,2.156987959965043
CAP,SOURCE_TECH,36,1.6752926360573341,2.1173058561596325
CAP,SOURCE_TECH_Z,36,1.6950154436396176,2.133811194578993
CAP,SOURCE_TECH_SHUFFLE,36,1.731467915080073,2.155589350144459
CAP,ALL_Q,36,1.693122321398829,2.167632665280229
CAP,ALL_Q_Z,36,1.740822277501033,2.2206917735494254
CAP,Z_ONLY,36,1.6396152290558619,2.1611387076787865
SIR,MEAN,36,1.2560755336617406,1.4664426987816086
SIR,SOURCE_TECH,36,1.2422665532369213,1.465503367392525
SIR,SOURCE_TECH_Z,36,1.2475265839413414,1.4697806903258375
SIR,SOURCE_TECH_SHUFFLE,36,1.2584786707974327,1.4853782592803484
SIR,ALL_Q,36,1.2398531075569448,1.4842771359853224
SIR,ALL_Q_Z,36,1.2516208723319056,1.495483690266741
SIR,Z_ONLY,36,1.2756353554414095,1.4792967120061982
