band,from_s,to_s,metric,mean,ci_lo,ci_hi,children_positive,children
pre,-0.2,0.0,bacc,0.4931514979886515,0.48696757607060653,0.5001070774530388,8,24
pre,-0.2,0.0,auc,0.4933467075256656,0.4851269827261212,0.5019327923994256,8,24
pre,-0.2,0.0,g_prior,-0.00022972157155241751,-0.0006134564574765375,-2.126183982351985e-05,4,24
pre,-0.2,0.0,g_prior_raw,-0.03159221831455606,-0.07820219475958241,-0.0059467079374565125,2,24
pre,-0.2,0.0,g_hist,-0.00023556588041564094,-0.0006163595710195122,-2.561033624625112e-05,7,24
early,0.05,0.25,bacc,0.5042680405971526,0.4974346005795711,0.511240039001688,14,24
early,0.05,0.25,auc,0.5022948154127019,0.4937774721333741,0.5104954541690038,13,24
early,0.05,0.25,g_prior,-0.0001475962080532902,-0.0003840842140771835,-1.0415683675209472e-05,7,24
early,0.05,0.25,g_prior_raw,-0.029521200939726197,-0.0697203144569258,-0.007639070706190177,1,24
early,0.05,0.25,g_hist,-0.00014047321557546789,-0.00034452922955162873,-2.046336934180481e-05,8,24
mid,0.25,0.45,bacc,0.49709887587028945,0.49123636356461364,0.503112958479046,10,24
mid,0.25,0.45,auc,0.4961319324603273,0.48871165483898166,0.5036182419231114,9,24
mid,0.25,0.45,g_prior,-9.749997079421304e-05,-0.0002961956790413523,1.7255836918160998e-05,14,24
mid,0.25,0.45,g_prior_raw,-0.04364820488841092,-0.11283735288451706,-0.007281981768035898,0,24
mid,0.25,0.45,g_hist,-0.000111430916821439,-0.0003325695812057291,1.479044800940699e-05,12,24
late,0.45,0.8,bacc,0.5008514603888347,0.4939980811853799,0.5070632814380468,15,24
late,0.45,0.8,auc,0.49822725265188517,0.48879541820186423,0.5067374456856765,13,24
late,0.45,0.8,g_prior,-0.0003611011337619101,-0.001033704997290774,-1.2652855508564449e-05,8,24
late,0.45,0.8,g_prior_raw,-0.027929154817651194,-0.06740307419136622,-0.0066689297033257705,1,24
late,0.45,0.8,g_hist,-0.0003365660958373363,-0.000950243630501941,-1.7667318711036995e-05,9,24
