lane,band,from_s,to_s,children,auc_mean,auc_ci_lo,auc_ci_hi,children_auc_gt_0.5,bacc_mean,bacc_ci_lo,bacc_ci_hi,g_hist_mean,g_hist_ci_lo,g_hist_ci_hi,children_g_hist_gt_0,g_prior_mean,g_prior_ci_lo,readable_by_frozen_rule
mff_puretone,pre,-0.2,0.0,33,0.5031738050711742,0.4952059110571182,0.5120151162137891,16,0.5017360140343,0.4954353883583956,0.5081367520744999,1.0304216372429774e-05,-8.178096467846505e-05,0.0001019608598218,20,1.4177410504414029e-05,-7.581431509228328e-05,False
mff_puretone,early,0.05,0.25,33,0.4958821038304991,0.486653125799737,0.5052155229392102,13,0.4971365386832362,0.4903570549865835,0.5042380202452605,-0.0001205721026744,-0.00027534940227,6.918521240063887e-06,14,-0.0001146053187335,-0.0002763666861791,False
mff_puretone,mid,0.25,0.45,33,0.5060364544053699,0.4973243514604694,0.5146028456584039,19,0.5046777326050709,0.4982254444795822,0.5110415248242131,-0.0001036418986465,-0.0001804100392961,-4.437800971898365e-05,8,-9.598529858724496e-05,-0.0001732490435533,False
mff_puretone,late,0.45,0.7,33,0.495516274618334,0.4862548468585014,0.5048290333889457,18,0.4977944996508643,0.4913538698358693,0.50410886523908,-1.398504700227026e-05,-5.505978511421248e-05,3.365237726612657e-05,10,-6.958231828112236e-06,-4.252569338338121e-05,False
mff_bapa,pre,-0.2,0.0,24,0.4933467075256656,0.4851269827261212,0.5019327923994256,8,0.4931514979886515,0.4869675760706065,0.5001070774530388,-0.0002355658804156,-0.0006163595710195,-2.561033624625112e-05,7,-0.0002297215715524,-0.0006134564574765,False
mff_bapa,early,0.05,0.25,24,0.5022948154127019,0.4937774721333741,0.5104954541690038,13,0.5042680405971526,0.4974346005795711,0.511240039001688,-0.0001404732155754,-0.0003445292295516,-2.046336934180481e-05,8,-0.0001475962080532,-0.0003840842140771,False
mff_bapa,mid,0.25,0.45,24,0.4961319324603273,0.4887116548389816,0.5036182419231114,9,0.4970988758702894,0.4912363635646136,0.503112958479046,-0.0001114309168214,-0.0003325695812057,1.479044800940699e-05,12,-9.749997079421304e-05,-0.0002961956790413,False
mff_bapa,late,0.45,0.8,24,0.4982272526518851,0.4887954182018642,0.5067374456856765,13,0.5008514603888347,0.4939980811853799,0.5070632814380468,-0.0003365660958373,-0.0009502436305019,-1.7667318711036995e-05,9,-0.0003611011337619,-0.0010337049972907,False
bdf_puretone,pre,-0.2,0.0,73,0.5085384116405017,0.503339890356546,0.5140024784145908,43,0.5063515475253575,0.5023534971781329,0.5104909737360894,0.0002671678497578,1.7185616340237113e-05,0.0006628060433176,39,-2.018071794704596e-05,-0.0001185255653715,True
bdf_puretone,early,0.05,0.25,73,0.5116871519929135,0.5066003763775339,0.5168668934288012,51,0.5101582203729592,0.5064222867394913,0.5139199858241241,0.0002624759637492,3.447746704661166e-05,0.0006586681897857,41,4.707792589357651e-05,-1.9427414063746112e-05,True
bdf_puretone,mid,0.25,0.45,73,0.5142684411573037,0.5094772845558743,0.5191134321500769,57,0.5109661098414988,0.5071633336441759,0.5147795099268627,0.0004875981464141,0.0001360153585366,0.0009735268294694,48,0.0002274999161486,6.042927121630847e-05,True
bdf_puretone,late,0.45,0.6400000000000001,73,0.5131123741018189,0.50611881828024,0.5200059381984483,52,0.5102977435038683,0.5050276755883395,0.5153612417090152,0.0002875009017383,2.874487374230087e-05,0.0006391200752322,44,0.0001230739994581,-8.28997771402448e-05,True
mff_unknown_event,pre,-0.2,0.0,38,0.5114233931430491,0.4980657814667539,0.526825282946265,21,0.5031038695443296,0.4960414414479421,0.5102031254955828,9.57415697247499e-05,-0.0001819176335364,0.0004425901386984,23,9.637210666533254e-05,-0.0001646407993662,False
mff_unknown_event,early,0.05,0.25,38,0.5166373385488633,0.5053214596896396,0.528522107856762,24,0.5087006979231566,0.5017293360680276,0.5160594550632389,-0.0005356787085169,-0.0016920914700202,9.847900200459604e-05,21,-0.0005832855066708,-0.0018296130154445,False
mff_unknown_event,mid,0.25,0.45,38,0.5216049554412656,0.5084087880176925,0.5357420114007091,28,0.5081967605376494,0.4985090038565948,0.5168915231175786,-0.0012213702177218,-0.0031316793233122,-9.842682464943288e-05,13,-0.0012113318352024,-0.0031194554153344,False
mff_unknown_event,late,0.45,0.72,38,0.5037871970482127,0.4922669470808541,0.516211086682544,21,0.499314737406594,0.4929639227718319,0.5051942895268827,-6.806040920821498e-05,-0.0001600715681979,3.4781608115319e-06,18,-6.867633727885859e-05,-0.0001579123095176,False
