objective,outer_fold,stage,epochs,fit_identity_groups,unique_fit_trials,steps_per_epoch,original_trial_exposures,parameter_count_encoder,parameter_count_projector,elapsed_seconds,final_training_loss,original_head_accuracy_diagnostic,final_representation_std
SUP,0,selection,60,30,3392,53,203520,73762,16576,17.364166975021362,0.0023995310195528393,1.0,0.5121153969809694
SUP,1,selection,60,31,3536,56,215040,73762,16576,18.384047746658325,0.0021654029904831468,1.0,0.49728904558079584
SUP,2,selection,60,32,3600,57,218880,73762,16576,17.018961429595947,0.0028252695715708428,1.0,0.49142181821036757
SUP,3,selection,60,31,3584,56,215040,73762,16576,18.023690938949585,0.0021917133251138565,1.0,0.49953852381025043
SUP,4,selection,60,31,3616,57,218880,73762,16576,17.377686500549316,0.002437511062772389,1.0,0.4874960466435081
SIM,0,selection,60,30,3392,53,203520,73762,16576,21.34752893447876,0.731117735493858,0.49233490566037735,0.3941373178419077
SIM,1,selection,60,31,3536,56,215040,73762,16576,20.97701597213745,0.730927936732769,0.49776785714285715,0.40387906187347006
SIM,2,selection,60,32,3600,57,218880,73762,16576,21.983161687850952,0.7326489697422898,0.5021929824561403,0.4075745281420256
SIM,3,selection,60,31,3584,56,215040,73762,16576,22.403976917266846,0.7319720600332532,0.48451450892857145,0.4021559554551329
SIM,4,selection,60,31,3616,57,218880,73762,16576,22.668715953826904,0.7281087469636348,0.4967105263157895,0.4016431904675668
MATCH,0,selection,60,30,3392,53,203520,73762,16576,25.642544746398926,0.07222523751123897,1.0,0.4875789678321694
MATCH,1,selection,60,31,3536,56,215040,73762,16576,27.569531440734863,0.07210333046636411,1.0,0.4809799742485796
MATCH,2,selection,60,32,3600,57,218880,73762,16576,26.7934410572052,0.07259821029085863,1.0,0.4725638727347056
MATCH,3,selection,60,31,3584,56,215040,73762,16576,28.720146656036377,0.07204161171934434,1.0,0.477491949817964
MATCH,4,selection,60,31,3616,57,218880,73762,16576,26.768977880477905,0.07233367337469469,1.0,0.46527705171652006
